MA,FA,Cs,Cl,Br,I,Bandgap_Predicted,Calculated_bandgap
1,0,0,0,0,1,1.6,1.59
0.7,0.2,0.1,0,0,1,1.56,1.53
0.5,0.4,0.1,0,0,1,1.54,1.51
0.4,0.5,0.1,0,0,1,1.52,1.50
0.25,0.75,0,0,0,1,1.55,1.51
0.2,0.7,0.1,0,0,1,1.49,1.48
0.17,0.83,0,0,0,1,1.53,1.50
0,0.8,0.2,0,0,1,1.57,1.43
0,0.83,0.17,0,0,1,1.56,1.44
0,0.85,0.15,0,0,1,1.54,1.44
0,0.9,0.1,0,0,1,1.53,1.46
0,0.95,0.05,0,0,1,1.52,1.47
0,1,0,0,0,1,1.48,1.49
0.15,0.85,0,0,0.05,0.95,1.54,1.53
0,0.8,0.2,0,0.06,0.94,1.58,1.47
1,0,0,0,0.07,0.93,1.68,1.63
1,0,0,0,0.1,0.9,1.61,1.65
0.15,0.85,0,0,0.1,0.9,1.57,1.57
0.1,0.85,0.05,0,0.1,0.9,1.55,1.55
0.05,0.85,0.1,0,0.1,0.9,1.57,1.53
0.05,0.9,0.05,0,0.1,0.9,1.52,1.54
0,0.9,0.1,0,0.1,0.9,1.53,1.52
0,0.95,0.05,0,0.1,0.9,1.48,1.54
1,0,0,0,0.12,0.88,1.62,1.67
0.12,0.83,0.05,0,0.13,0.87,1.6,1.57
0.15,0.79,0.06,0,0.15,0.85,1.75,1.58
0.14,0.81,0.05,0,0.15,0.85,1.61,1.59
0.13,0.76,0.1,0,0.15,0.85,1.61,1.57
0.16,0.79,0.05,0,0.17,0.83,1.6,1.60
0.15,0.75,0.1,0,0.17,0.83,1.5,1.59
0.1,0.4,0.5,0,0.17,0.83,1.69,1.46
0,0.5,0.5,0,0.17,0.83,1.62,1.45
0,0.83,0.17,0,0.17,0.83,1.65,1.55
1,0,0,0,0.2,0.8,1.72,1.72
0.7,0.3,0,0,0.2,0.8,1.69,1.69
0.2,0.8,0,0,0.2,0.8,1.63,1.64
0.16,0.79,0.06,0,0.22,0.78,1.6,1.63
0.25,0.75,0,0,0.25,0.75,1.66,1.68
