MA,FA,Cs,Cl,Br,I,Bandgap_Predicted
1,0,0,0,0,1,1.6
0.7,0.2,0.1,0,0,1,1.56
0.5,0.4,0.1,0,0,1,1.54
0.4,0.5,0.1,0,0,1,1.52
0.25,0.75,0,0,0,1,1.55
0.2,0.7,0.1,0,0,1,1.49
0.17,0.83,0,0,0,1,1.53
0,0.8,0.2,0,0,1,1.57
0,0.83,0.17,0,0,1,1.56
0,0.85,0.15,0,0,1,1.54
0,0.9,0.1,0,0,1,1.53
0,0.95,0.05,0,0,1,1.52
0,1,0,0,0,1,1.48
0.15,0.85,0,0,0.05,0.95,1.54
0,0.8,0.2,0,0.06,0.94,1.58
1,0,0,0,0.07,0.93,1.68
1,0,0,0,0.1,0.9,1.61
0.15,0.85,0,0,0.1,0.9,1.57
0.1,0.85,0.05,0,0.1,0.9,1.55
0.05,0.85,0.1,0,0.1,0.9,1.57
0.05,0.9,0.05,0,0.1,0.9,1.52
0,0.9,0.1,0,0.1,0.9,1.53
0,0.95,0.05,0,0.1,0.9,1.48
1,0,0,0,0.12,0.88,1.62
0.12,0.83,0.05,0,0.13,0.87,1.6
0.15,0.79,0.06,0,0.15,0.85,1.75
0.14,0.81,0.05,0,0.15,0.85,1.61
0.13,0.76,0.1,0,0.15,0.85,1.61
0.16,0.79,0.05,0,0.17,0.83,1.6
0.15,0.75,0.1,0,0.17,0.83,1.5
0.1,0.4,0.5,0,0.17,0.83,1.69
0,0.5,0.5,0,0.17,0.83,1.62
0,0.83,0.17,0,0.17,0.83,1.65
1,0,0,0,0.2,0.8,1.72
0.7,0.3,0,0,0.2,0.8,1.69
0.2,0.8,0,0,0.2,0.8,1.63
0.16,0.79,0.06,0,0.22,0.78,1.6
0.25,0.75,0,0,0.25,0.75,1.66
0.15,0.85,0,0,0.25,0.75,1.65
1,0,0,0,0.27,0.73,1.75
0,0.17,0.83,0,0.27,0.73,1.72
0,0.15,0.85,0,0.27,0.73,1.72
1,0,0,0,0.3,0.7,1.77
0.3,0.7,0,0,0.3,0.7,1.7
0.15,0.85,0,0,0.3,0.7,1.68
0,0.6,0.4,0,0.3,0.7,1.75
0,0.8,0.2,0,0.3,0.7,1.75
0,0,1,0,0.33,0.67,1.92
0,0.83,0.17,0,0.33,0.67,1.74
1,0,0,0,0.33,0.67,1.75
0.35,0.65,0,0,0.35,0.65,1.74
0.15,0.85,0,0,0.35,0.65,1.71
0.9,0,0.1,0,0.4,0.6,1.8
0.6,0.4,0,0,0.4,0.6,1.76
0.4,0.6,0,0,0.4,0.6,1.76
0.4,0,0.6,0,0.4,0.6,1.75
0.15,0.74,0.11,0,0.4,0.6,1.78
0,0.4,0.6,0,0.4,0.6,1.76
0,0.83,0.17,0,0.4,0.6,1.74
1,0,0,0,0.42,0.58,1.79
0.45,0.55,0,0,0.45,0.55,1.81
0.15,0.85,0,0,0.45,0.55,1.79
1,0,0,0,0.5,0.5,1.9
0.5,0.5,0,0,0.5,0.5,1.85
0.17,0.83,0,0,0.5,0.5,1.8
0.16,0.79,0.05,0,0.4,0.6,1.8
0,0,1,0,0.5,0.5,2.1
0,0.83,0.17,0,0.5,0.5,1.8
1,0,0,0,0.59,0.41,1.96
0.15,0.79,0.06,0,0.6,0.4,1.78
0.15,0.85,0,0,0.6,0.4,1.76
0,0.87,0.13,0,0.6,0.4,1.93
1,0,0,0,0.67,0.33,1.98
0,0.83,0.17,0,0.67,0.33,1.96
0,0,1,0,0.67,0.33,2.05
0,0.85,0.15,0,0.7,0.3,2
0,1,0,0,0.9,0.1,1.97
1,0,0,0,0.72,0.28,2.01
0,0.83,0.17,0,0.83,0.17,2.07
0.15,0.85,0,0,0.85,0.15,1.6
1,0,0,0,0.95,0.05,2.23
1,0,0,0,1,0,2.3
1,0,0,0.2,0.8,0,2.55
1,0,0,0.4,0.6,0,2.69
1,0,0,0.6,0.4,0,2.84
1,0,0,0.8,0.2,0,2.98
0.17,0.83,0,0,1,0,2.23
0.17,0.83,0,0.1,0.9,0,2.27
0,0,1,0,1,0,2.3
0,1,0,0,1,0,2.3
0,0,1,1,0,0,3
0,1,0,1,0,0,3
1,0,0,0.17,0.83,0,2.46
1,0,0,0.38,0.62,0,2.64
1,0,0,0.44,0.56,0,2.68
1,0,0,0.5,0.5,0,2.75
1,0,0,0.56,0.44,0,2.79
1,0,0,0.64,0.36,0,2.81
1,0,0,0.69,0.31,0,2.84
1,0,0,0.71,0.29,0,2.88
1,0,0,0.93,0.07,0,3.13
1,0,0,1,0,0,3.16
1,0,0,0.33,0.67,0,2.57
1,0,0,0.67,0.33,0,2.81
1,0,0,0.1,0.9,0,2.19
0,0,1,0.2,0.8,0,2.33
0,0,1,0.3,0.7,0,2.45
0,0,1,0.4,0.6,0,2.47
0,0,1,0.5,0.5,0,2.49
